Donor,Region,year
Sweet Mickey Foundation,,
United Nations Mission in South Sudan,,
Hands Up Foundation,,
Food for the Hungry International,,
OCP AFRICA,,
CARE Canada,,
CARE-UK,,
CARE Luxembourg,,
Vital Strategies,,
King Baudouin Foundation.,,
Solidarity Response Fund,,
"Hand in Hand Appeal, Syria",,
Federation Internationale de Football Association (FIFA),,
COVID-19 Humanitarian Thematic Fund,,
Ukraine Humanitarian Fund,,
UNICEF National Committee/Uruguay,,
Hungarian Baptist  Aid Organisation,,
UN Multi-Partner Trust Fund for Sustaining Peace in Colombia,,
Caritas Hungary,,
Hungarian Malteser Charity Service,,
Queen Silvia Foundation,,
WHAM Foundation,,
Asian Disaster Reduction Center,,
Spotlight Initiative,,
UN COVID-19 Response and Recovery Fund,,
Big Heart Foundation,,
Parthenon Trust,,
Imperial College,,
United Way International,,
Violet Organization,,
Caritas Czech Republic,,
Fondation de France,,
Chemonics International Inc.,,
Balad Organization,,
Ghiras Alnahda Organization,,
Grand Challenges Canada,,
Stiftung Deutsche Welthungerhilfe,,
Deutsche Lepra- und Tuberkulosehilfe e.V,,
Somalia,,
PandemicTech,,
Syrian Humanitarian Institute for National Empowerment,,
NetHope,,
ACT Alliance / Hungarian Interchurch Aid,,
Evangelical Development Programme,,
UNICEF National Committee/Saudi Arabia,,
Omidyar Fund,,
One Shekel Campaign in WB,,
United Nations Development Group Office,,
United Nations Transitional Authority in East Timor,,
World Animal Protection,,
Food for the Poor,,
Zimbabwe Red Cross,,
Kleenheat Gas,,
Liechtenstein Red Cross,,
Africa Muslims Agency (Johannesburg),,
IDRC,,
OXFAM Netherlands (NOVIB),,
Organisation Internationale de la Francophonie,,
Canadian Development and Peace,,
Chevron Texaco,,
International Relief Teams,,
ROLEX,,
Malta Red Cross Society,,
Gobi Regional Economic Growth Initiative,,
HARRODS GROUP,,
"Ibero-American States Organization for Education, Science & Culture",,
United Nations Volunteers Programme,,
UN Economic Commission for Latin America,,
BIJOU Trust,,
Trust & Legacies,,
OXFAM Hong Kong,,
OXFAM Ireland,,
Barbados Red Cross Society,,
IRA Fund,,
International Maritime Organization,,
Albanian Red Cross,,
Bangladesh Red Crescent Society,,
Belize Red Cross Society,,
Bolivian Red Cross,,
Red Cross Society of Bosnia and Herzegovina,,
Brazilian Red Cross,,
Colombian Red Cross Society,,
Ecuadorian Red Cross,,
Salvadorean Red Cross Society,,
Estonia Red Cross,,
Honduran Red Cross,,
Latvian Red Cross,,
"Red Cross of The Former Yugoslav Republic of Macedonia, The",,
Lithuanian Red Cross Society,,
Micronesia Red Cross,,
Papua New Guinea Red Cross Society,,
Paraguayan Red Cross,,
Portuguese Red Cross,,
Romanian Red Cross,,
South African Red Cross Society,,
Fiji Red Cross Society,,
Palau Red Cross Society,,
Ukrainian Red Cross Society,,
AASAA,,
Organization for African Unity,,
USA for UNHCR,,
"United Nations Mission in the DRC (Mission d'Observation des Nations Unies au Congo, MONUC)",,
Jamaica Red Cross,,
Uruguayan Red Cross,,
World Vision Hong Kong,,
World Vision UK,,
Algerian Red Crescent,,
Bahamas Red Cross Society,,
Argentine Red Cross,,
Arab Association for Human Rights,,
ACT Alliance / Amity Foundation,,
Czech Red Cross,,
Guyana Red Cross Society,,
Jordan National Red Crescent Society,,
Lebanese Red Cross,,
Mexican Red Cross,,
Philippine Red Cross,,
Russian Red Cross Society,,
Samoa Red Cross Society,,
Trinidad and Tobago Red Cross Society,,
Vanuatu Red Cross Society,,
Venezuelan Red Cross,,
World Vision Sri Lanka,,
Lighthouse Association,,
FOCUS Humanitarian Aid,,
Australia for UNHCR,,
Association Francaise de soutien a UNHCR,,
Association of Medical Doctors of Asia International,,
Deniz Feneri Yardimlasma ve Dayanisma Dernegi,,
Abdul Latif Jameel Group,,
North Atlantic Treaty Organization,,
Earthquake Relief Fund for Orphans,,
Tzu Chi Foundation,,
Exactmobile (South Africa),,
Shinnyo-en,,
PriceWaterhouseCoopers,,
UNO-Flüchtlingshilfe e.V.,,
Human Rights and Humanitarian Assistance Foundation,,
ADC Foundation,,
International Bank for Reconstruction & Development (World Bank),,
Cambodian Red Cross,,
Nepal Red Cross Society,,
Caritas Austria,,
SERVICE plus GMBH,,
AIG Disaster Relief Fund,,
The Asia Foundation,,
International Relief and Development,,
International Catholic Migration Commission,,
Christian Children's Fund,,
Foundation for Co-existence,,
National Anti War Front,,
Disaster Resource Network,,
Suriname Red Cross,,
Standard Chartered Bank,,
Rissho Koseikai,,
Friends of Love,,
Church Women Solidarity for Supporting North Korea Children,,
Korea Buddhist Order Association,,
Green Hope,,
Corporacion andina de fomento,,
Abundant Life Church,,
Africa Self Help Assistance Programme,,
The Movement Center of Jeju Citizen to Help the North Korea,,
Korean Farmers' Association,,
Association of Major Superious of Religious Women in Korea,,
Kim Seung-Jung,,
Catholic Priest Association for Justice,,
Church of Jesus Christ (Johannesburg),,
WFP Administered Trust Fund,,
UN Assistance Programme to Afghanistan,,
Packard Foundation,,
Rwandan Red Cross,,
Open Society Institute Assistance Foundation,,
Juffali Foundation,,
Bahrain Red Crescent Society,,
International Telecommunications Union,,
Swedish Mission Council,,
Pan American Health and Education Foundation,,
Australian Aid International,,
Hope International Development Agency,,
Solidaridad Internacional,,
Firemen without Borders,,
UNICEF National Committee/Estonia,,
Asia Pacific Permanent Representatives' Spouses Group,,
Seylan Bank Limited,,
Netherlands Refugee Foundation,,
Medical Emergency Relief International,,
Ayuda en Acción,,
World Wildlife Fund,,
UNICEF National Committee/Oman,,
Fondazione Un Raggio di Luce,,
CARE Nepal,,
"Daiki, Inc.",,
Vårt land,,
Plan Niger,,
Médecins sans Frontières - Switzerland,,
"Friends of  UNRWA Association, USA",,
United Nations assessed contributions,,
Médicos del Mundo Spain,,
UNICEF National Committee/Latvia,,
"Catholic Church, Germany",,
Telefood Campaign,,
"Operation Helping Hands, American Samoa",,
Plan Indonesia,,
Swedish Cooperative Centre,,
"Episcopal Conference, Peru",,
Chinese Community in Peru,,
Intl Humanitarian Org World View,,
Cooperation Andina de Fomento,,
UNDG Iraq Trust Fund,,
"National Fishery Society, Peru",,
Santa Isabel Market,,
"Greek Orthodox Ladies Philoptochos Society, Inc.",,
Gamarra's Merchant Commission,,
Andean Development Corporation,,
Luchetti,,
Espana con ACNUR,,
Fundacion Paz - Holandesa,,
Backus y Cervesur,,
Special Representative of the Secretary-General,,
Girls are a Treasure Network,,
"Area Staff Union, HQ/Amman",,
Juhaina for Industries,,
ALICORP,,
Boston Archiepiscopal Diocese,,
Lima Airport Partners,,
Peru Rail,,
Peruvian Private Enterprise Colchones Paraiso,,
Ripley,,
Feed the Hungry,,
The Federation of Korean Industries,,
The Korean Medical Association,,
Floridon Foundation,,
D. Stiftung furn UNO-Fluchtlingshilfe E.V.,,
Nextel Peru,,
Humanity First USA,,
"Central Asian Free Exchange, USA",,
"Joint Development Associates, USA",,
Médecins sans Frontières - Netherlands,,
Caritas India,,
Evangelical Fellowship of India Commission on Relief,,
Oxfam India,,
Project Aparajita - VHAI,,
Concern India,,
Catholic Mission,,
UNDG/EXECCOMM Secretariat,,
Zimbabwe CHF,,
CARE Australia,,
Medical Assistance Programs International,,
Caritas Peru,,
Christian Friends of Korea,,
Foundation Vida Peru,,
Singapore International Foundation,,
Children of Peru Foundation (New York),,
SAFRA Edmond J. Philanthropic Foundation,,
Light Force International,,
Lion Aid,,
Diakonia World Federation,,
Children's Home Society of Minnesota,,
Arab Authority for Agricultural Investment and Development,,
The Mission Covenant Church of Sweden,,
United Nations Mission in Timor-Leste,,
Caritas Spain,,
BID,,
Somalia ERF (until 2012),,
Alexander Bodini Foundation,,
Multi-Donor Trust Fund for the Sudan,,
PMU-Interlife,,
SANOFI,,
Islamic Edu. Scien. Cultural Org.,,
Amitie sans Frontieres,,
SOLIDAR INGO CONSORTIUM,,
United Nations Joint Logistics Centre,,
Caritas/MCC,,
Flanders Cooperation,,
Monterey Institute of International Studies,,
Mercy-USA for Aid and Development,,
SOS International,,
Saudi Public Campaign for Lebanon and Palestine,,
Palestine Red Crescent Society,,
Welfare Association,,
Sundry Donors,,
Human Care International,,
Kingdom Foundation,,
Counterpart International,,
PTT Public Company Limited,,
Honda,,
Japan Association for WFP,,
Khoo Teck Puat Foundation,,
The Nat'l Council of Saemaul Undong  Movement in Korea,,
Deniz Feneri Association,,
Schering-Plough Corporation,,
Abbott Laboratories,,
Motorola Foundation,,
Charles Schwab Foundation,,
Merrill Lynch,,
General Motors Foundation,,
"Caterpillar, Inc.",,
Pfizer,,
Merck & Co. Inc.,,
Business Roundtable,,
US-China Business Council,,
EMC Corporation,,
Siemens AG,,
Daimler,,
Baxter International Foundation,,
Linkage Trust,,
AMURT International,,
Tides Foundation,,
International Air Transport Association,,
Belarusian Red Cross,,
Sri Lanka Red Cross Society,,
Partner Aid International e.V.,,
Multi-Donor Trust Fund for the Sudan South,,
SCOR Group,,
Indonesian Farmers Funds,,
Project HOPE,,
Baptist World Aid,,
Medical Teams International,,
ACT Alliance / Lutheran World Relief,,
International Orthodox Christian Charities,,
The Sigrid Rausing Trust,,
Office for Intellectual Freedom,,
Plan Haiti,,
Digicel Foundation,,
Burma Austria Allianz,,
Jordanian River Society,,
Life for Relief and Development,,
Red Crescent Society of Kyrgyzstan,,
Health Partners International Canada,,
Lihir Gold Limited,,
GlobalMedic,,
Human Concern International,,
Foundation for HR and Freedoms and Humanitarian Relief,,
Doctors Worldwide,,
HIVOS,,
Mercy Malaysia,,
Waatasemu Charity Association,,
Japanese Kindergarten Association,,
Sultan Haji Hassanal Bolkiah Foundation,,
Sheikh Mohammad Shami Foundation,,
NOMECO,,
Abu Dhabi National Energy Company,,
"Al-Aqsa Islamic Society, USA",,
"ARIGATOU FOUNDATION, JAPAN",,
JORDAN RIVER FOUNDATION,,
KINDER USA,,
"Mercy Relief, Singapore",,
Deloitte and Touche,,
"Travian Games, Germany",,
INDONESIA-PALESTINE FRIENDSHIP INITIATIVE,,
ISLAMIC HERITAGE SOCIETY,,
ISLAMIC SHURA COUNCIL OF MICHIGAN,,
CRS and Private Foundations,,
SALAM YA SUGHAR FUND,,
Korean Foundation for International Healthcare,,
Medical Aid for Palestinians,,
World Vision Support Offices,,
Balcombe,,
Spanish Aced,,
Fondation Suisse pour le Déminage,,
Nepal ERF,,
SAH - Schweizerisches Arbeiterhilfswerk,,
HSBC Bank Middle East Limited,,
Operation Blessing International,,
Wal-Mart,,
Golden Heart Fund,,
Association Solidarite Maroc Palestine,,
Shell Nigeria,,
Inter Américain de Coopération Agricole,,
Co-ordinating Council Geneva,,
America Continental 2000,,
Campbell Soup CO,,
Home Depot Foundation,,
Eaton Corp,,
Assistência Médica Internacional (AMI),,
ConAgra Foods,,
CareSource Foundation,,
Vodafone Group Foundation,,
Kellogg Corporation,,
Bank of America Corporation,,
BMO Financial Group,,
Go Daddy,,
Rogers Communications,,
Walt Disney Corporation,,
Lance Armstrong Foundation,,
AT&T Foundation,,
Jolie-Pitt Foundation,,
Jefferies Group Inc,,
Verizon Foundation,,
Kraft Foods Foundation,,
Plan UK,,
British Airways,,
Comcast Corp,,
Angel Network,,
Not on our Watch,,
Toyota Motor Corporation,,
State Street Corporation,,
Dow Chemical Corporation,,
Advent Software,,
Air Products,,
Allstate Foundation,,
UnitedHealth,,
Orthodox Church in America,,
VICINI and the INICIA Foundation,,
Humana Foundation,,
Argos Cement Company,,
Visa,,
Wakefern Food Corp. (ShopRite and PriceRite stores,,
Walgreens,,
Mattel,,
Hess Corporation,,
DELL,,
General Mills Foundation,,
Reynolds American Foundation,,
Southern Company Charitable Foundations,,
Publix,,
Rockwell Collins,,
Sempra Energy Foundation,,
Staples Inc.,,
Tenet Healthcare Corporation,,
Morgan Stanley,,
Canon Group,,
Cogeco Cable,,
ConocoPhillips,,
Credit Agricole,,
Desjardins,,
Chubb Corporation,,
Credit Suisse,,
"Crocs, Inc.",,
Limited Brands,,
Safeway Inc,,
Tesco,,
United Technologies Corporation,,
Lowe's Companies Inc.,,
TJX Companies,,
Toys R Us,,
FPL Group Foundation,,
US Bancorp,,
GenNX360,,
SES World Skies,,
Symantec,,
Panasonic,,
National Grid,,
Eastman Kodak Charitable Trust,,
Qwest Foundation,,
Henry Schein Inc.,,
Hanesbrands,,
Massachusetts Mutual Life Insurance Company,,
Dollar General Corporation,,
Build-A-Bear Workshop Foundation,,
"Principal Financial Group Foundation, Inc",,
Pentair,,
Astoria Federal Savings,,
Northfield Bank Foundation,,
Hudson's Bay Company,,
FIJIWater,,
Hydration Technology Innovations,,
HNA Group,,
Xstrata AG,,
Burton D. Morgan Foundation,,
Canada Safeway Foundation,,
ACE Charitable Foundation,,
"Kinetic Concepts, Inc.",,
RBC,,
Rite Aid,,
Digicel Aruba,,
MetaCorp,,
Burger King,,
Eisai Co. Ltd.,,
Clinton Foundation,,
Maxim G Rochester and Leighton McKnight,,
Royal Bank of Canada,,
Healthworkers Community,,
William Gallagher Associates,,
AP Moller Maersk Group,,
Monsanto Co.,,
Bristol-Myers Squibb,,
Bertelsmann AG,,
ConvaTec,,
HSBC,,
"TEC Equipment, Inc.",,
Migros,,
Valero Energy/Ultramar,,
"Cardinal Health, Inc.",,
Avon,,
Carnival Corporations,,
Foresters,,
Dr Pepper Snapple Group,,
Leonardo DiCaprio Foundation,,
International Paper,,
Lipsey Water,,
Paul Hastings,,
Kirkland & Ellis LLP,,
"Weil, Gotshal & Manges LLP",,
Dewey & LeBoeuf LLP,,
Venable LLP,,
Akin Gump Strauss Hauer & Feld LLP,,
Patton Boggs LLP,,
"Gibson, Dunn & Crutcher",,
Chadbourne & Parke LLP,,
Winston & Strawn LLP,,
Mayer Brown,,
Schulte Roth & Zabel LLP,,
WilmerHale,,
Northrop Grumman Corp,,
Northwestern Mutual Corp.,,
DJO Incorporated,,
"Ross Stores, Inc.",,
Nationwide Insurance Foundation,,
International Criminal Police Organization - INTERPOL,,
"Dr. Fresh, Inc",,
ING Group Disaster Relief Fund,,
TNT,,
Shionogi Pharma Inc.,,
"Shionogi & Co., Ltd",,
Skanska,,
3M,,
Allianz Life Insurance Company of North America,,
Atlantic Philanthropies,,
"Blue Cross and Blue Shield of Minnesota Foundation, Inc.",,
Buuck Family Foundation,,
Central Minnesota Community Foundation,,
Chrysler Foundation,,
"CVS Caremark Charitable Trust, Inc.",,
eBay Foundation,,
Ecolab Inc.,,
Hewlett-Packard Company Foundation,,
Gulf Coast Community Foundation of Venice,,
Hilton Worldwide,,
Horizon Foundation for New Jersey,,
Wawa Inc.,,
Kroger Co. Foundation,,
M.A.C. AIDS Fund,,
McGregor Fund,,
NiSource Charitable Foundation,,
Nissan Corporation,,
Northland Foundation,,
GEA Society,,
Pew Charitable Trusts,,
Public Welfare Foundation,,
Richard and Susan Smith Family Foundation,,
Toro Company,,
Bernard van Leer Foundation,,
Bacardi Limited,,
Electricite de France,,
Winn-Dixie Foundation,,
Weyerhaeuser,,
Louis Vutton,,
Kids in Distressed Situations,,
Carestream Health,,
Xcel Energy Foundation,,
Annie E. Casey Foundation,,
"Anheuser-Busch Companies, Inc.",,
"Best Buy Co., Inc.",,
Best Buy Children's Foundation,,
Freeport-McMoRan Copper & Gold Inc,,
Gerdau Ameristeel,,
Siemens Water Technologies,,
Amgen,,
Aramark,,
"Hitachi America, Ltd.",,
MassMutual Financial Group,,
3Com,,
Armstrong,,
AXA Group,,
Barclay's Foundation,,
Bechtel,,
Dannon,,
Cognizant,,
Coach,,
Dun & Bradstreet,,
Dunkin Brands,,
Farmers Insurance,,
Flowserve,,
Goodrich Corporation,,
Bilkent Holding,,
Latin American Benevolent Foundation,,
Dark & Light Foundation,,
ChildFund International,,
Korean-American Association,,
Harland Clarke Holdings,,
Hartford Financial Services Group,,
JC Penny,,
Land O'Lakes,,
Lubrizol,,
McAfee,,
"Mitsui USA, Inc.",,
J. Smith Lanier & Co.,,
Grass Technologies,,
Integra LifeSciences Holdings Corporation,,
OneBeacon Charitable Trust,,
Menasha Corporation,,
Sprint Nextel,,
Costa Rican Red Cross,,
Bridgestone Group,,
Sphene International Ltd,,
Carlson Wagonlit Travel Beheermaatschappij,,
Nomura Group,,
Risk and Insurance Management Society,,
Zambia Red Cross Society,,
Syrian Arab Red Crescent,,
"Goya Foods, Inc.",,
Crawford & Company,,
Grand Circle Foundation,,
Perry Ellis International,,
Medtronic Foundation,,
Wegman Family Charitable Foundation,,
Aetna Foundation,,
Airamid Health Management,,
AK Steel,,
AllianceBernstein Holding L.P.,,
MAXIMUS,,
CareFusion Corporation,,
Cumberland Pharmaceuticals Inc,,
Thrivent Financial for Lutherans,,
Liggett Vector Brands Inc.,,
Actavis Group,,
Nestle USA,,
Nokia,,
Occidental Petroleum,,
PACCAR Inc.,,
Pietrantoni Mendez & Alvarez LLP,,
Princess Cruises,,
"QVC, Inc.",,
Raytheon,,
Boston Foundation (Ansara Family Fund),,
DentaQuest,,
Prem Rawat Foundation,,
Ronald McDonald House Charities,,
Sony,,
Sony Online Entertainment,,
Underwriters Laboratories,,
Univision,,
US Airways,,
Arcos Dorados B.V.,,
J. Willard and Alice S. Marriott Foundation,,
Nicaraguan Red Cross,,
Darden Restaurants,,
Honeywell,,
Goddard Enterprises Limited,,
Shipman & Goodwin LLP,,
Benfica Foundation,,
Biomet Inc.,,
Kubota Corporation,,
"Summer Infant, Inc.",,
United Methodist Church,,
Daystar Christian Centre,,
"Chung Te Buddhist Association of NY, Inc.",,
American Egg Board,,
Caritas Manila,,
PokerStars,,
BLU-MED Response Systems,,
FUJIFILM Holdings Corporation,,
BD,,
Goldman Sachs Group,,
Mosaic Company,,
C & S Wholesale Grocers,,
Inasmuch Foundation,,
Giant Food Stores,,
Convoy of Hope,,
Nestle,,
Toshiba Group,,
ANGLO AMERICAN PLC,,
Care Germany,,
Kinross,,
Catholic Diocese of Erie,,
International Programme for the Development of Communication,,
International Criminal Court,,
South American Football Confederation (CONMEBOL),,
PotashCorp,,
Hyundai Motor Company,,
Airbus Foundation,,
ENDESA Group,,
USA Friends Private,,
Fondation de l'Ordre de Malte pour le Liban,,
"Ameriprise Financial, Inc.",,
IBN SINA,,
BASF,,
Agenzia Italiana Risposta Emergenze,,
Boston Foundation,,
Hy-Vee Inc.,,
Lloyd A. Fry Foundation,,
Associated Banc-Corp,,
Carnegie Corporation of New York,,
Global Children Foundation,,
Terre des Hommes - Germany,,
Terre des Hommes - Italy,,
Great Family Organization,,
UN Central Fund for Influenza Action,,
Korean Broadcast Company,,
Banesco Bank Venezuela,,
Zanfha Initiative,,
Management Sciences for Health,,
Mine Action Programme for Afghanistan,,
Oregon Community Foundation,,
California Endowment,,
Lisa and Douglas Goldman Fund,,
Have It Your Way Foundation,,
Roy A. Hunt Foundation,,
Cleveland Foundation,,
Windy International Youth Foundation,,
UN Spouses Bazaar,,
Kresge Foundation,,
Seattle Foundation,,
World Meteorological Organization,,
Daiichi Sankyo,,
BRAC,,
Telenor Pakistan,,
Northeast Asia Forest Forum,,
Pirelli & C. Societa per Azioni,,
Google,,
Boeing Company,,
GE Foundation,,
International Development and Relief Foundation,,
Unilever,,
United Nations Mission in Ethiopia and Eritrea,,
Kuwait Joint Relief Committee,,
Cummins Foundation,,
BP Foundation,,
Pakistan Telecommunication Company LTD.,,
"NetSol Technologies, Inc",,
International Relief Solutions LLC,,
BMW Group,,
Equate Petrochemical,,
Sheraton Hotel,,
Tethyan Copper Company,,
JCB,,
ICI Pakistan,,
Infineon Technologies,,
Doha Bank,,
RAK Ceramics,,
Connacionales del Extranjero,,
BCIE,,
Help for school,,
DynCorp,,
ITT Corporation,,
Daewoo,,
Sud-Chemie AG,,
Mobilink Foundation,,
Hillman Family Foundations,,
Oklahoma City Community Foundation,,
United Nations Association in Canada,,
"Onnuri Church, Rep. of Korea",,
W.K. Kellogg Foundation,,
Gaddafi International Charity and Development Foundation (GICDF),,
The Pears Foundation,,
Coastal Community Foundation of South Carolina,,
United Islamic Center,,
Minneapolis Foundation,,
Islamic Centre of Tucson,,
Fondation Assistance Internationale,,
Stabilization and Recovery Funding Facility in Eastern DRC,,
San Diego Foundation,,
East Bay Community Foundation,,
The Achelis Foundation,,
The Bodman Foundation,,
Hilina Enriched Food Processing Center PLC,,
UNICEF National Committee/San Marino,,
GMC Services,,
M. J. Murdock Charitable Trust,,
"F. M. Kirby Foundation, Inc.",,
Community Foundation for Southern Arizona,,
World Conference on Religions for Peace,,
Kimse Yok Mu Solidarity Foundation,,
Silicon Valley Community Foundation,,
Reach Out To Asia,,
Arab Medical Association,,
Consortium of British Humanitarian Agencies,,
Actions Médicales Internationale,,
Astellas,,
Brother Industries Ltd.,,
Philadelphia Insurance Companies,,
DCH Auto Group,,
Delta Development Program,,
Aflac,,
Manulife Financial Corporation,,
Gap Inc.,,
H-E-B,,
Jones Lang LaSalle,,
KCI,,
Levi Strauss Foundation,,
Lockheed Martin,,
Lupin,,
McDonald's Corporation,,
"Molycorp, Inc.",,
Nikon,,
Nukepills,,
Tasa Meng,,
Wells Fargo & CO,,
BNPP,,
Bulgarian Red Cross,,
First Moscow Gymnasium,,
VITOL,,
Bank of Palestine,,
First National Bank of Namibia,,
Afghan Technical Consultants,,
Lindner Foundation Uganda,,
CARITAS INTERNATIONALIS,,
Aayo Development Foundation,,
UN Stabilization and Recovery - DRC,,
South Sudan ERF (until 2014),,
United Nations Disengagement Observer Force,,
HEMCO,,
B2Gold,,
Kuwaiti Social Reform Society,,
FUNDACION LA CAIXA (FLC),,
Soka Gakkai,,
WEFA HUMANITARIAN RELIEF ORGANIZATION,,
Canadian Coalition,,
"INTERVIDA FOUNDATION, SPAIN",,
Malawi SDG Acceleration Fund,,
Alwaleed Foundation,,
Samaritan Integrated Development Agency,,
Field Ready,,
Help Refugees,,
Women Vision,,
Treatment and Rehabilitation Center for Victims of Torture,,
United Nations Office for Project Services | United Nations Mine Action Service,,
International Humanitarian City,,
Age International,,
Norwegian Research Council,,
UN agencies and NGOs (details not yet provided),,
EQUINOR,,
Madad Organization,,
UNICEF National Committee/United Arab Emirates,,
Disaster Emergency Committee Coronavirus Appeal,,
ChildFund Korea,,
Fondation Femmes plus,,
Brooke-Action for Working Horses & Donkeys,,
Italian Agency for Development Cooperation,,
Rahma Worldwide (Formerly Rahma Relief Foundation),,
Community Action Water Programme,,
Abt Associates,,
Silatech Organization,,
"South Sudan Multi-Partner Trust Fund for Reconciliation, Stabilization, Resilience",,
Civil Society Initiative,,
Association of Christian Resource Organizations Serving Sudan,,
Mundri Relief and Development Association,,
Evangelical youth organization in Württemberg,,
Episcopal Church of Sudan (part of the Anglican Communion),,
NGOs,,
AGCO Agriculture Foundation,,
Islamic Charity Association,,
Caritas Australia,,
Caritas Norway,,
Habitat for Humanity International,,
Danish Committee for Aid to Afghan Refugees,,
AGIR Foundation,,
ELMA Relief Foundation,,
The Center for Disaster Philanthropy,,
Susan Thompson Buffet Foundation,,
Trocaire | Catholic Agency for Overseas Development,,
Catholic Agency for Overseas Development | Trocaire,,
Clinton Health Access Initiative,,
Scottish Catholic International Aid Fund,,
East African Community Services,,
Education Cannot Wait Fund | Save the Children | Windle Trust International,,
Mott MacDonald,,
The Norwegian Agency for Development Cooperation,,
Windle Trust International | Mott MacDonald | United Kingdom,,
CARE USA,,
GIRO 555,,
Accion Contra el Hambre - Spain,,
Union des Organisations Syrienne de Secours Médicaux,,
Civil Society Facility,,
"Syria Resilience Consortium (CARE, DRC, HI, IRC, NRC & Mercy Corps)",,
Food for the Hungry,,
Arab Fund for Economic and Social Development (AFESD),,
CARE Netherlands,,
Spanish Agency for International Development Cooperation (AECID),,
Innovation Norway,,
Acción Solidaria,,
Humanity & Inclusion - Handicap International,,
Japan International Cooperation Agency,,
International Islamic Charity Organization,,
SÉNÉO-le service public de l'eau,,
Special Fund for Emergency and Rehabilitation,,
UN Multi-Partner Trust Fund,,
