Recipient.Organization,recipientcodename,year
Intergovernmental Authority on Development,Other multi,
Regional Developmetn Protection Programme - Horn of Africa,Other multi,
International Trade Center,Other multi,
Samaritan's Purse,NGOs,
EADRCC - Euro-Atlantic Disaster Response Coord.Centre,Other multi,
Organization of Islamic Cooperation,Other multi,
Aid for Central Africa,Other multi,
Association of Southeast Asian Nations,Other multi,
Islamic Development Bank,Other multi,
Regional Development and Protection Programme in the Middle East,Other multi,
Islamic Committee of the International Crescent,Other multi,
African Union Mission in Sudan,Other multi,
Danube Commission,Other multi,
Commonwealth Secretariat,Other multi,
European Investment Bank,Other multi,
Inter-American Development Bank,Other multi,
African Development Bank,Other multi,
Organization for African Unity,Other multi,
Corporacion andina de fomento,Other multi,
Organization of Petroleum Exporting Countries Fund,Other multi,
International Criminal Tribunal for Rwanda,Other multi,
Cooperation Andina de Fomento,Other multi,
Andean Development Corporation,Other multi,
Cluster Munition Coalition,Other multi,
Organization for Security & Cooperation in Europe,Other multi,
Coordinating Committee for Coastal and Offshore Geo. Progr. in East Southeast Asia,Other multi,
EITI - Extractive Industry Transparency Initiative,Other multi,
New Ireland PDC,Other multi,
The International Barent secretary,Other multi,
African Union Mission in Somalia,Other multi,
International Commission Against Impunity,Other multi,
Action for Youth & Environmental Development,other,
Swedish Ecumenical Accompaniment Programme in Palestine and Israel,other,
IGAD Partnership Forum,other,
PAP,other,
Global Partners,other,
Afghanistan Independent Human Rights Commission,other,
UPR Info,other,
Sustainable Heath Development Centre,other,
Zukunft f. Kinder,other,
Sametinget,other,
International Rehabilitation Council of Tortured Victims,other,
TERREMOTO HAITI,other,
NGOs; Red Cross/Red Crescent (details not yet provided),other,
Committee partnersh Linz- San Carlos,other,
Erika Weissenböck,other,
Daniela Punz,other,
Waltraud Torossian-Brigasky,other,
Eine Welt-öö Landlerhilfe,other,
Baluchistan Boys Scouts Association,other,
Integrated Health Services,other,
National Society for Rehabilitation,other,
Rosalia Hoog,other,
"Eine Welt Kreis, Zell an der Pram",other,
ZAWD - Organization for Humanitarian and Development,other,
Humanitarian Aid and Development Organization,other,
Institut Menzingen,other,
Verein f. hum. Hilfe Vaduz,other,
Franziskaner,other,
Bel Avenir,other,
Mine Action Group,other,
Social and Humanitarian Assistance Organization,other,
Afghan Social and Agricultural Affairs Rehabilitation Organization,other,
TASSAGHT,other,
Groupement des Artisans ruraux dINTADENE-GARI,other,
Community Aid for Development,other,
Bashaer,other,
CRRDC-TD,other,
Commission diocésaine justice et paix (CDJP),other,
APEC (Association pour la protection de l'enfance  au Congo),other,
PIPA,other,
Organisation for Mine Awareness and Reconstruction,other,
The Living History Forum,other,
Samerådet,other,
Kompetansesenteret for urfolksrettigheter,other,
Control Arms,other,
International Humanitarian Fact-Finding Commission,other,
Huairou Commission,other,
Somalia Relive Centre,other,
Swiss Foundation for Mine Action / Organisation for Security and Cooperation in Europe,other,
Access Relief and Development,other,
IIDA Women's Development Organization,other,
El Barde Primary Helath Care Organization,other,
Juba Shine,other,
Humanitarian Forum Indonesia,other,
Watans Social Technical Services Association,other,
We Effect,other,
Centro Integral de Rehabilitación de Colombia,other,
MIR - MUXO Impact Relief,other,
IPYS - Instituto Prensa y Sociedad,other,
Trans-Nzoia Socio-Economic Network,other,
PIDAD,other,
Cooperative League of the USA,other,
Al-Ofiq Organization for Development and Emergency,other,
Al-Afeea Fund,other,
Alternative,other,
Rural Capacities Development Committee,other,
American Lebanese Language Center,other,
Den norske lægeforening - UD-tilskudd,other,
Center for Defending Freedom of Journalists,other,
Studentenes og Akademikernes Internasjonale Hjelpefond,other,
Progressive Interventions,other,
Hands Off Cain,other,
Initiativ for Etisk Handel,other,
Iqra Cultural Center,other,
HIAS RefugeeTrust,other,
Humanitarian Cargo Carriers,other,
The Norwegian Helsinki Committee,other,
Basic Education and Employable Skill Training,other,
IHI - International Humanitarian Initiative,other,
Office for Drug Control and Crime Prevention,other,
Health and Environment Development Society,other,
Help In Need,other,
PREPARED,other,
Rural Empowerment and Institutional Development,other,
Japan Actions for Relief Center,other,
Nærings- og Handelsdepartementet,other,
Triangle Génération Humanitaire,NGOs,
Al-Amal Community for Social Welfare,other,
Islamic Commission of Care,other,
Humanitarian Action for the People Afghanistan,other,
Wahdat Rehabilitation and Development Organization for Afghan Women,other,
JAFS,other,
Soryiat,other,
Jmaaiat Al ayadi Albaidaa - Lebanon,other,
Humanity First,other,
Rural Centre for Sustainable Development,other,
AGHSAN,other,
International Talk Network Ltd,other,
Participatory Educational Awareness and Community Empowerment,other,
Youth Resource Centre,other,
Misericordia International Center Day Care,other,
CIVIC (Valid until August 2012),other,
Perspectives pour la Santé et le Développement,other,
Hopital Albert Schweitzer,other,
VsF (CH) / PACE,other,
ELIMU,other,
Wakachiai Project,other,
The Danish-Ethiopian Joint Initiative,other,
The Competitiveness,other,
Alber Charity Society,Other,
Share Association of Guatemala,other,
SAFDF,Other,
ONG Actions,other,
Grupo Col. - Suisse,other,
OAP,other,
Operation Lifeline Sudan,other,
National Radio Appeal,other,
Reach Vulnerable,Other,
Association pour le Progrès et la Défense des Droits des Femmes,other,
National Democratic Institute for International Affairs/International Republican Institute,other,
Div. Assoc.,other,
Reform Society,other,
Yemeni Social Reform Society,other,
Community Peace Fund,other,
Gedo Women Development Organization,other,
Association pour le Développement de Sila,other,
Centre d'Appui aux Initiatives de Développement Local,other,
SUKS - Schweizerisches Unterstützungskomitee für die Sahraouis,other,
SDW,other,
Eaux de Marseille (Société des),other,
Div. E+CIS,other,
Ministry of Environment and University of Zurich,other,
Association Rég. d'Appro. en Médicaments Essentiels,other,
"Korean Reconciliation Committee, Archdiocese of Korea",other,
Tromso Center for Mine Damages,other,
Man in Need,other,
Sentinelles,other,
Association of South-North Kang-Won Province Cooperation,other,
Medical Aids for Children of DPRK,other,
21 Century Unification Service Organization,other,
HCS,other,
MSI,other,
Kobü,other,
International Humanitarian City,other,
Malawi Economic Justice Network,other,
"NABA""A",other,
Survey Action Center,other,
AICF-F,other,
"Plateforme d""insertion par l""humanitaire",other,
SHA/NRE,other,
United Nations Children's Fund | Première Urgence (until 2010),other,
GECONKFOR/CIMIC,other,
Nomadic Assistance for Peace and Development,other,
GFC,other,
Agglobe Services International and the Korean Unpasan General Trading Company,other,
HHB,other,
GMAC,other,
PSF-France/Clermont-Ferrand,other,
Agency for Technical Cooperation and Development | Concern Worldwide | Deutsche Welthungerhilfe e.V. (German Agro Action),other,
Sedec-Hudec,other,
ASSODLO - Assoc. Haïtienne pour la Maîtrise des Sols et des Eaux,other,
FTHS,other,
College Suisse/Fondation S.O.S,other,
MEN,other,
African Mission in Burundi,other,
NETZ,other,
Nachbar in Not,other,
United States Catholic Conference,other,
NIISO,other,
Management Services for Health,other,
Afghan Center,other,
Matrix,other,
Freundschaftsbrucke-Kinder der Perestroika e.V,other,
Arbeiterwohlfahrt Bayern,other,
VEH,other,
VEH/HAD,other,
International Alliances,other,
Mala Sirena,other,
Housing and Property Directorate,other,
Action for Independent Media,other,
IHS,other,
Ottawa Convention Sponsorship Programme,other,
IOGT-NTO,other,
Somalischer Verein e.V.,other,
Volunteer Corpes-Greek Firemen Replanters,other,
Basic Needs,other,
SSB,other,
Root of Grass,other,
Voluntary Health Association of India,other,
AIDER,other,
SIG - Canton's Industrial Services - Geneve (CH),other,
Berne helps Lviv,other,
NAC,other,
KPR,other,
JEOP - Joint Emergency Operation,other,
Ibdesch Patenschaften,other,
AASAA,other,
ATAV - Assoc. Tsunami Aides aux Victimes,other,
Emergency Organization Group Copenhagen,other,
STARH Project,other,
IQC TBD,other,
ICMA - International City/County Management Association,other,
Trickle  Up Program,other,
Seismic Risk Assessment and Mitigation in the Antakya-Maras Region,other,
Bär + Leu,other,
Progedes-Nicaragua,other,
Thai Tsunami Victim Identification Group,other,
British Agencies Afghanistan Group,other,
Star of Hope,other,
Deniz Feneri Yardimlasma ve Dayanisma Dernegi,other,
Rural Support Programmes Network,other,
Irish UNMIL Battalion,other,
Slavik,other,
International Humanitarian Fund LIBA,other,
Open Continent,other,
Birdlife International,other,
Adam's Peak,other,
Irish Sri Lanka Trust Fund,other,
PLO DoRA,other,
National Anti War Front,other,
Parliamentary Forum,other,
AVRE -Support to Victims for Emotional Recovery,other,
SwissCor,other,
ZAF,other,
Development Initiatives Access Link,other,
Temporary International Presence in Hebron,other,
Centre pour enfants des rues de Bel-Air,other,
LEAD Trust,other,
Rainbow Gateway,other,
Norsk forbund f. utv.hemmede,other,
Stiftelsen Menneskeret.Huset,other,
"Stavanger kommune, Sølvberget KF Bibl.og kul",other,
REDOG,other,
INFONOR,other,
SE-SINAPRED,other,
ESPE,other,
FERT,other,
Memorial Human Rights Centre,other,
I-LIFE,other,
PA_05,other,
International Peace Building Alliance/WSP International,other,
Marsh Arabs,other,
GDPI,other,
Sharaja,other,
Programme for Emergency Education and Reconstruction,other,
HH-SKH,other,
Next Step AS,other,
Dissimilis kult.og komp.senter,other,
Libyan Relief Committee,other,
Strømmestiftelsen - UD-tilskudd,other,
PARTNERS,other,
öKO HIMAL,other,
GCIDS,other,
DIA,other,
Sanitary of Epidemiological Station,other,
Association Notre Dame de Protection,other,
Association pour les enfants oubliés,other,
Père Jaar,other,
UNITEC,other,
Keren Hayesod,other,
National Development Organization,other,
Missionnaires du Divin Maître/Shabunda,other,
Chinese Community in Peru,other,
ADU_04,other,
DWF,other,
BMaA,other,
CFD,other,
Press Trust / IDI,other,
ASEP,other,
GRT,other,
SERVICE INT. POUR LES DROITS DE L HOMME,other,
SERVICIO PAZ Y JUSTICIA,other,
RCO,other,
Tambanevana Children's Association,other,
ISP IN AFRICA,other,
LH/ACT,other,
STCH,other,
PSO,other,
JAGAN. L.A.,other,
Norges Juristforbund,other,
Samis,other,
"Steenfeldt-Foss, O. W.",other,
Interpeace,other,
Koperativ Agrikol Tibiwon,other,
Al Anbar Center for Humanitarian Relief,other,
Todya Organization,other,
Iraqi Relief Organisation,other,
Al Afran Media and Culture,other,
Kids and Women Organization,other,
Orphans and Divorced Rights Association,other,
Foundation of the United for Relief and Adiding Development,other,
Iraqi Southern Sun Association,other,
Al-Yousser Organization for Assistance & Rehabilitation Assistance & Rehabilitation Assistance & Rehabilitation,other,
The Iraqi International Association for Civil Society,other,
Coordination Institute Humanitarian,other,
SCD-RB,other,
DENAL,other,
Emergency Action Uganda,other,
Key Stone,other,
Schools Association for Formal Education,other,
Private Voluntary Organizations,other,
SC/US and World Vision,other,
Panzi Hospital,other,
Association of Chinese Evangelical Ministry Limited,other,
Joint Mediation Support Team,other,
CHAINES,other,
Non Violent Peace Force Sri Lanka,other,
"Landsorganisasjonen i Norge, internasj. sekret.",other,
CESADEMA,other,
Responsive,other,
Coof Bamako,other,
Coof Ouagadougou,other,
Judicial System Monitoring Programme,other,
Cluster Munitions Conference,other,
Flakstad Kommune,other,
China Association for NGO Cooperation,other,
EDM,other,
PARD,other,
GAAC,other,
Asal Rural Development Organization,Other,
Action de lutte contre la pollution des sources et des puits,other,
ATDL BUKAVU,other,
EAUR,other,
DIOBASS,other,
MAAMS,other,
APPRONA,other,
ISJ,other,
SADRI,other,
Pain Pour Les Déshérités (PPLD),other,
Village Elders Group,other,
National Center for the Prevention of HIV/AIDS,other,
Johor Community Development Committee for Women and Family Development,other,
Kriminalomsorg.utdanningssent,other,
German Development Service,other,
Klaila Organisation,other,
World Humanitarian Forum,other,
Belun,other,
STEP Afghanistan,other,
CIMIR- Fred Polk,other,
Nepal ERF,Other,
APEDE,other,
Den norske Tibet-komite,other,
Stichting World Federalist Movement,other,
World Conference on Religions for Peace,other,
SANAR YURDATAPAN  - FEA,other,
Norsk tamilsk helse organisasjon,other,
Norges Fredslag,other,
"Kjemisk Forbund, Palestinagruppene",other,
"Stavanger kommune, Litteraturfestivalen Kapittel06",other,
RCT,other,
PAIMAN Alumni Trust,other,
EP-Team,other,
PIAL,other,
Official Development Assistance,other,
Distribuidora Ambiente,other,
Committee for the Palestinian Fund,other,
LIDEAS DRC,other,
Steps International,other,
Fundación AMEPBO,other,
Pakistansk Velferdsorganisasjon Norge,other,
GESA -  Gesundheitshilfe Afghanistan e.V,other,
Foro Femenino Ma Maeztu,other,
Groupement Ingenieria Estrella,other,
Donegal Peace Centre,other,
FAREM,other,
Sub-Saharan International Development Organization,other,
Development of Palestinian Farmer Association - Deir Albalah,other,
Agricultural and Environmental Development Society,other,
Society of Physically Handicapped People,other,
Natur Environments & Wildlife Society and Calcutta Foundation,other,
Arno Kobamaron CBO,other,
SOHDO,other,
Paroecia Latina S.Catharinae,other,
Aids Foundation for Children,other,
Norsk Vietnamesisk Senter,other,
Central Social,other,
MAPACT,other,
Japan-ASEAN Integration Fund,other,
MSZ,other,
KISIMA Peace and Development Organization,other,
L'Agora/Madani Dia,other,
Integrated Sustainable Livelihoods,other,
Chora - Organisation Tchadienne pour le Développement,Other,
Chaîne du Bonheur,other,
Global Links,other,
"Association de soutien aux refugies, aux personnes deplacees et aux detenus",other,
Lambi Fund of Haiti,other,
Fray Rene Giroux Mission,other,
Mine Action Programme for Afghanistan,other,
ACU/START,other,
St. Damien Hospital,other,
Association of Evangelicals in Africa,other,
Nomads Development and Environmental Conservation,other,
Hakima,other,
Gender Education Empowerment and Leadership Organization,other,
Sharukhi Rehabilitation Project,other,
Global Initiative to End All Corporal Punishment of Children,other,
Finca,other,
PRIMA SYNERGIE,other,
Appui aux Initiatives de Bien Etre Familial,other,
Cchin HR Organization,other,
Association for Humanity Development,other,
LSQC,other,
ACH-UK/INTERMON,other,
Society for Sustainable Development,other,
STC SW,other,
Dag Hammarskjold Scholarship Fund for Journalists,other,
Fazilia Trust Pakistan,other,
Arab Medical Equipment and Services Organization,other,
Diocese of Meru,other,
Sant''Egidio,other,
Liberia WASH Consortium,other,
MRCA / AMI,other,
Oslosenteret for fred og menneskerettigheter,other,
Sewa Development Trust Sindh,other,
National Rural Support Programme,other,
Counselling Services Unit,other,
Hidaya Rehabilitation Corporation for Special Need,other,
Safa Marwa Relief and Development Organization,other,
írzte ohne Grenzen e.V.,other,
Experts Comptables Associés,other,
SST,other,
Beaconhouse,other,
Echelle appui au développement,other,
Dejarup,other,
NU,other,
Juridisk rådgivning for kvinner,other,
Patient Friendly Society,other,
European Grassroots Antiracist Movement,other,
The Family Centre,other,
Gol-yome Rehabilitation and Development Organization,other,
Neighborhood Disaster Volunteers,other,
Majulah Indonesia Tanah Airku,other,
"Society for Skills, Trainings & Development",other,
Tribal Reforms and Development Organization,other,
Society for Awareness and Change,other,
Devcon,other,
Tehreek,other,
Community Appraisal Programme,other,
SNG,other,
Perkumpulan Paluma Nusantara,other,
"Commission for Reception, Truth and Reconciliation",other,
BDCD,other,
VAS,other,
Pelayanan Advokasi untuk Keadilan dan Perdamaian Indonesia,other,
Yayasan Ananda Marga Indonesia,other,
Groupe dAction pour la Promotion de la Femme,other,
Yayasan Dian Desa,other,
Karuna Hpaan,other,
Dialog Forening,other,
Rainwater Association of Somalia,other,
UN agencies and NGOs (details not yet provided),other,
Santé pour le Développement et la Stabilité d’Haïti,other,
Children's Aid Direct,NGOs,
Médecins sans Frontières - France,NGOs,
Comitato Collaborazione Medica,NGOs,
Support for Peace and Education Development Program,NGOs,
Christian Mission for Development,NGOs,
Mani Tese,NGOs,
Norwegian People's Aid,NGOs,
Horn Relief,NGOs,
Oxfam Intermon,NGOs,
Vétérinaires sans Frontières (Belgium),NGOs,
Vétérinaires sans Frontières (Germany),NGOs,
Mercy Corps,NGOs,
South Sudan Development Agency,NGOs,
Food for the Hungry,NGOs,
Adventist Development and Relief Agency,NGOs,
Relief International,NGOs,
ACF - USA,NGOs,
International Rescue Committee,NGOs,
Catholic Relief Services,NGOs,
Handicap International / Humanity & Inclusion,NGOs,
Norwegian Refugee Council,NGOs,
International Medical Corps,NGOs,
"ACT Alliance / Diakonia, Sweden",NGOs,
TEARFUND,NGOs,
Save the Children,NGOs,
Peace Action Society Organisation for Somalia,NGOs,
Global One 2015,NGOs,
Comitato di Coordinamento delle Organizzazione per il Servizio Volontario,NGOs,
Solidarity Group of Jubbaland,NGOs,
Médecins sans Frontières,NGOs,
United Purpose (formerly known as Concern Universal),NGOs,
CARE International,NGOs,
Medico International,NGOs,
Aviation Sans Frontieres,NGOs,
Solidarités International,NGOs,
Help - Hilfe zur Selbsthilfe e.V.,NGOs,
OXFAM International,NGOs,
OXFAM GB,NGOs,
Action Contre la Faim,NGOs,
International Medical Corps UK,NGOs,
Cooperazione Internazionale - COOPI,NGOs,
NGO Consortium,NGOs,
Muslim Aid,NGOs,
ACT Alliance / DanChurchAid,NGOs,
Johanniter Unfallhilfe e.V.,NGOs,
World Vision International,NGOs,
Medical Emergency Relief International,NGOs,
ACF - France,NGOs,
GOAL,NGOs,
HelpAge International,NGOs,
Arbeiter-Samariter-Bund Deutschland e.V,NGOs,
ACT Alliance / Norwegian Church Aid,NGOs,
HEKS - Hilfswerk der Evangelischen Kirchen Schweiz,NGOs,
Deutsche Welthungerhilfe e.V. (German Agro Action),NGOs,
Right to Play,NGOs,
Humedica,NGOs,
Terre des Hommes International,NGOs,
Caritas Germany (DCV),NGOs,
NGOs (details not yet provided),NGOs,
Aga Khan Foundation,NGOs,
BBC World Service Trust,NGOs,
Plan UK,NGOs,
ACT Alliance / Diakonie Emergency Aid,NGOs,
Internews Europe,NGOs,
ActionAid International,NGOs,
Malteser International Order of Malta World Relief,NGOs,
Médecins sans Frontières - Netherlands,NGOs,
Première Urgence - Aide Médicale Internationale (from 2011 to 2015),NGOs,
Concern Worldwide,NGOs,
Objectif Tiers Monde,NGOs,
Friendship,NGOs,
Nehemia Christenhilfsdienst e.V.,NGOs,
ACT Alliance / Lutheran World Federation,NGOs,
ZOA,NGOs,
Danish Refugee Council,NGOs,
DEMIRA,NGOs,
People in Need,NGOs,
CARITAS,NGOs,
International Centre for Transitional Justice,NGOs,
Médecins sans Frontières - Belgium,NGOs,
Gruppo Volontariato Civile,NGOs,
International Catholic Migration Commission,NGOs,
Terre des Hommes - Italy,NGOs,
Islamic Relief Worldwide,NGOs,
Fondation Suisse pour le Déminage,NGOs,
Cooperazione E Sviluppo - CESVI,NGOs,
Jesuit Refugee Service,NGOs,
Secours Islamique,NGOs,
Allianz Mission,NGOs,
Insan Association,NGOs,
ACF - Spain,NGOs,
Vétérinaires sans Frontières (Switzerland),NGOs,
OXFAM Quebec,NGOs,
Agency for Technical Cooperation and Development,NGOs,
International Emergency and Development Aid,NGOs,
Association pour le développement social et la sauvegarde de lenvironnement,NGOs,
SFCG/RDC,NGOs,
CAMPS/CELPA,NGOs,
Appui aux Femmes Démunies et Enfants Marginalisés,NGOs,
Caritas Congo,NGOs,
Alliance for International Medical Action,NGOs,
Associazione Volontari per il Servizio Internazionale,NGOs,
MEDAIR,NGOs,
Médecins d'Afrique,NGOs,
Comitato Internationale per lo Sviluppo dei Popoli,NGOs,
CARE France,NGOs,
Plan International,NGOs,
Care Germany,NGOs,
Aga Khan Development Network,NGOs,
World Vision Sudan,NGOs,
American Refugee Committee,NGOs,
International Aid Services,NGOs,
Mines Advisory Group,NGOs,
Fellowship for African Relief,NGOs,
Danish De-mining Group,NGOs,
Japan Emergency NGO,NGOs,
ACT Alliance / Lutheran World Relief,NGOs,
CARE International Switzerland in Sudan,NGOs,
OXFAM Canada,NGOs,
CARE Canada,NGOs,
International Relief and Development,NGOs,
Jordan Health Aid Society,NGOs,
Handicap International Belgium,NGOs,
Secours Islamique France,NGOs,
Secours Catholique et Développement,NGOs,
FOCUS International,NGOs,
MA'AN Development Center,NGOs,
Habitat for Humanity International,NGOs,
Jordan Hashemite Charity Organization,NGOs,
Helen Keller International,NGOs,
Transcultural Psychosocial Organization,NGOs,
Haut Comité de Secours libanais,NGOs,
Médecins du Monde,NGOs,
Union des Organisations Syrienne de Secours Médicaux,NGOs,
Electriciens sans frontières,NGOs,
OXFAM Netherlands (NOVIB),NGOs,
OIKOS - Intercooperação e Desenvolvimento,NGOs,
World Vision Germany,NGOs,
Arche Nova E.V. - Initiative for People in Need,NGOs,
Caritas Spain,NGOs,
Polish Humanitarian Action,NGOs,
Yayasan HOPE Indonesia,NGOs,
Iimaan Relief and Development Organization,NGOs,
ACT Alliance / Diakonie Katastrophenhilfe,NGOs,
Soul of Haiti,NGOs,
CARE Somalia,NGOs,
Kindernothilfe e.V.,NGOs,
Mission Enfance,NGOs,
Asociacion de Trabajadores y Tecnicos Sin Fronteras,NGOs,
CARE Norway,NGOs,
Mission Aviation Fellowship,NGOs,
Mercy Corps Scotland,NGOs,
World Vision UK,NGOs,
RedR UK,NGOs,
Salvation Army,NGOs,
Lay Volunteers International Association,NGOs,
Caritas New Zealand,NGOs,
Society for Humanitarian Solidarity,NGOs,
Progressio,NGOs,
INTERSOS Humanitarian Aid Organization,NGOs,
CARE Austria,NGOs,
CARITAS / Catholic Relief Services,NGOs,
American Near East Refugee Aid,NGOs,
Trocaire,NGOs,
Karuna Myanmar Social Services,NGOs,
Plan Norge,NGOs,
International Institute of Humanitarian Law,NGOs,
ARTICLE 19,NGOs,
International Federation of Human Rights,NGOs,
Norwegian Afghanistan Committee,NGOs,
Amnesty International Norway,NGOs,
Quaker United Nations Office,NGOs,
Charities Aid Foundation,NGOs,
Médecins du Monde Belgium,NGOs,
ACT Alliance / Finn Church Aid,NGOs,
Vive Zene,NGOs,
War Child Holland,NGOs,
Arab Network for Tolerance,NGOs,
ACT Alliance / Church of Sweden,NGOs,
Development Workshop,NGOs,
Aviation Sans Frontieres Belgium,NGOs,
People in Aid,NGOs,
Médecins sans Frontières - Canada,NGOs,
Caritas Switzerland,NGOs,
OXFAM America,NGOs,
Kinderberg International e.V.,NGOs,
Médecins du Monde France,NGOs,
Caritas Lebanon Migrants Center,NGOs,
SODI - Solidaritätsdienst-International,NGOs,
CARE Netherlands,NGOs,
Première Urgence (until 2010),NGOs,
PMU-Interlife,NGOs,
ACT Alliance / Interchurch Organisation for Development Co-operation,NGOs,
HOPE87 - Hundreds of Original Projects for Employment,NGOs,
Association for the Prevention of Torture,NGOs,
Norwegian Aid Committee,NGOs,
Medicos sin Fronteras,NGOs,
Caritas Czech Republic,NGOs,
Praktisk Solidarites,NGOs,
Admira,NGOs,
OXFAM Belgium,NGOs,
HALO Trust,NGOs,
World Vision Canada,NGOs,
Swiss AIDS Care International,NGOs,
Fondation Caritas Luxembourg,NGOs,
Friedensdorf International,NGOs,
Katholische Männerbewegung,NGOs,
International Orthodox Christian Charities,NGOs,
International Trust Fund for Demining and Victim Assistance,NGOs,
Center for Victims of Torture,NGOs,
RET International (Former The Foundation for the Refugee Education Trust till 2014),NGOs,
ACT Alliance / Bread for the World,NGOs,
OXFAM,NGOs,
Horizont 3000,NGOs,
Alpistan,NGOs,
EMERGENCY - Life Support for Civilian War Victims ONG Onlus,NGOs,
Japanese NGOs,NGOs,
Solidarität mit Lateinamerika,NGOs,
Rumänienhilfe Schärding,NGOs,
Rumänienhilfe Liebenau,NGOs,
Peoples Empowerment and Consulting Enterprise,NGOs,
Center of Excellence for Rural Development,NGOs,
Association for Humanitarian Development,NGOs,
Citizen's Commission for Human Development,NGOs,
Peace and Development Organization,NGOs,
Health And Nutrition Development Society,NGOs,
Sangtani Women Rural Development Organization,NGOs,
Society for Human and Institutional Development,NGOs,
Azat Foundation,NGOs,
Helping Hand for Relief and Development,NGOs,
AAGAHI,NGOs,
Gaza Community Mental Health Programme,NGOs,
Médicos del Mundo Spain,NGOs,
Solidarites-France,NGOs,
Afghanistan Demain,NGOs,
Afrique Verte Mali,NGOs,
Hope International Development Agency,NGOs,
Santé Diabète,NGOs,
Hilfswerk Austria International,NGOs,
Menschen für,NGOs,
öö Volkshilfe,NGOs,
World Concern Development Organization,NGOs,
Nile Hope,NGOs,
Nonviolent Peaceforce,NGOs,
Street Children Aid,NGOs,
World Vision South Sudan,NGOs,
Upper Nile Initiative and Development Organization,NGOs,
Malaria Consortium,NGOs,
BRAC,NGOs,
Lacha Community and Economic Development,NGOs,
The Mentor Initiative,NGOs,
Universal Intervention and Development Organization,NGOs,
Medici con l'Africa CUAMM,NGOs,
Universal Network for Knowledge and Empowerment Agency,NGOs,
The Health Support Organization,NGOs,
Christian Mission Aid,NGOs,
Farmer's Life Development Agency,NGOs,
Christian Recovery and Development Agency,NGOs,
AMURT International,NGOs,
World Relief,NGOs,
Fishermen of Christ Incorporated Philippines,NGOs,
Hold the Child Organisation,NGOs,
War Child Canada,NGOs,
Direct Aid,NGOs,
Initiative Dritte Welt Braunau,NGOs,
Association for Aid and Relief Japan,NGOs,
JASMAR Human Security Organization,NGOs,
FPDO,NGOs,
Tawsol Al Amal Charity Organization,NGOs,
"Anhar for Peace, Development and Humanitarian Work Organization",NGOs,
ACT Alliance / United Methodist Committee on Relief,NGOs,
Sudanese Women's General Union,NGOs,
Sudan Open Learning Organisation,NGOs,
Mubadiroon Organization for Prevention of Disaster and War Impacts,NGOs,
Practical Action (formerly Intermediate Technology Development Group),NGOs,
Sustainable Action Group,NGOs,
Sudanese Development Call Organization,NGOs,
Labena Organization for Women Development Aid Capacity Building,NGOs,
Local Action Organization,NGOs,
Alsalam Organization for Rehabilitation and Development,NGOs,
Almanar Voluntary Organization,NGOs,
United Peace Organization,NGOs,
Daaralsalam Development Association,NGOs,
Kabakabiya Smallhoders Charitable Society,NGOs,
HelpAge International UK,NGOs,
El Ruhama Organization for Development and Humanitarian Aid,NGOs,
Talawiet Organization for Development,NGOs,
Panhealth Care Organization,NGOs,
Kuwait Patients Helping Fund,NGOs,
Rufaida Health Foundation,NGOs,
Gruppo per le Relazioni Transculturali,NGOs,
Canadian Catholic Organization for Development and Peace (Caritas Canada),NGOs,
iMMAP,NGOs,
DIAKONISCHES WERK DER EKD,NGOs,
Caritas Denmark,NGOs,
Médecins du Monde Canada,NGOs,
Sante Sud,NGOs,
Santé Mali Rhône Alpes,NGOs,
Humedia International,NGOs,
China Foundation for Poverty Alleviation,NGOs,
Project Concern International,NGOs,
World Wildlife Fund,NGOs,
ACT Alliance / Christian Aid,NGOs,
Stichting CARE Nederland,NGOs,
Aide í  l''Enfance de l''Inde,NGOs,
Handicap International Luxembourg,NGOs,
Neighbors Initiative Alliance,NGOs,
Badil Resource Center for Palestinian Residency and Refugee Rights,NGOs,
Wajir South Development Association,NGOs,
LandsAid e.V.,NGOs,
Catholic Agency for Overseas Development,NGOs,
Developmental Action Without Border (Nabaa),NGOs,
ACT Alliance / Hungarian Interchurch Aid,NGOs,
Les Sarments de Lavaux,NGOs,
Verein Bär und Leu,NGOs,
Palestinian Center of Organic Agriculture,NGOs,
Palestinian Hydrology Group,NGOs,
Palestinian Association for Development and Reconstruction,NGOs,
Palestinian Al Nakheel Association for Progress and Development,NGOs,
War Child UK,NGOs,
Afghanaid,NGOs,
Center for the Defence of the Individual,NGOs,
Médecins sans Frontières - Switzerland,NGOs,
Non Violent Peace Force,NGOs,
Secours Catholique - Caritas France,NGOs,
Geneva International Centre for Humanitarian Demining,NGOs,
Association Idée-elles,NGOs,
Association Persis Valais,NGOs,
Associazione Amici dellOasis Togo,NGOs,
Association of International Development Agencies,NGOs,
Conflict Dynamics International,NGOs,
Community and Family Services International,NGOs,
Aweil Window of Opportunities and Development Agency,NGOs,
Restart Center for Rehabilitation of Victims of Violence and Torture,NGOs,
Un Ponte Per,NGOs,
World Vision USA,NGOs,
Agricultural Cooperative Development International and Volunteers in Overseas Cooperative Assistance,NGOs,
AISHA Association for Woman and Child Protection,NGOs,
Catholic Organisation for Relief and Development Aid,NGOs,
Mercy-USA for Aid and Development,NGOs,
"Education, Health, Social Awareness and Rehabilitation Foundation",NGOs,
Intercare,NGOs,
Swedish Cooperative Centre,NGOs,
